Run;Initial_wl_nm;Short_absorption_length_m;Long_absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;Time_s;Timed_out;Total_distance_m
8570;380;0.002277280118040785;2.0191512878734534;[[0.0887378871175218, 0.01310652940405813, 0.13543351325552977]];4.121506434154096;-0.8605956755144294;464.8436421268753;[0.08710973413599345, 0.015, 0.1337582909695935];[];False;0;;4.629050543991984e-11;False;0.00528435223826898
8571;380;0.000684742839445945;6.580463432643229;[[0.018604150768541276, 0.014406632804556162, 0.06735780534348185]];6.159235520742997;0.050699096071991134;485.2082870573262;[];[0.16447368768238685, 0.005116790988666424, 0.138708770011197];False;5;0.20641329805171382;3.1739384195288337e-09;False;1.483411102395195
8572;380;0.0038739788925470325;6.255782796679681;[[0.10663060903142728, 0.012477712507622755, 0.04095130976593541]];4.4763961108794295;-0.45178082027616345;530.9194767459312;[];[0.19908078683856625, 0.0033520717204085348, 0.2043518555611278];False;40;0.12410180179343006;4.895514198730147e-09;False;2.2989127306648753
8573;380;0.004786598645685585;5.539863515380787;[[0.1316443271831925, 0.012538320804462629, 0.04029935479993047]];0.1213471640196669;-0.4068425531667295;450.370708338086;[];[0.14431575200322194, 0.0070784264280814545, 0.1534447303840008];False;0;0.2523603297418939;3.0439316582446876e-10;False;0.11877015653730097
8574;380;0.008692526737862671;10.82979803361135;[[0.104174358870843, 0.010113602635100345, 0.09433220859462149]];5.010074084036701;0.7708131311925319;436.7508539799367;[0.07831729470097508, 0.015, 0.10539103924388593];[];False;1;;1.367265766558607e-10;False;0.04639635333580226
8575;380;0.0013208164856421444;8.005882475823933;[[0.03589409265651074, 0.013891666634093462, 0.0320622115843343]];2.265886965392439;-0.8632793829694276;413.8942085452024;[0.06060283360033348, 0.015, 0.0003591339627602233];[];False;1;;1.457092028815727e-10;False;0.05082167921149858
8576;380;0.0038961661430262488;1.0547905899956018;[[0.11984674356265376, 0.012618925090313461, 0.0419445407726151]];5.1192949091867765;0.14932394826361398;450.370708338086;[];[0.14206700086957158, 0.0032156275232382067, 0.15608846113005304];True;2;0.2523603297418939;6.626096170168884e-10;False;0.2923060549059354
8577;380;0.0006952526958556236;1.2741272655227025;[[0.08234039546985622, 0.014595349118025987, 0.03267907744008286]];1.7648242526348499;0.1417330679293035;412.0367646617399;[];[0.21043229271660902, 0.007414592330360542, 0.18709483982778136];True;9;0.27797510856022406;2.4781580922617707e-09;False;1.140525833676306
8578;380;0.0005821371848450468;0.273602558679882;[[0.0646150031916821, 0.014897196610248745, 0.06099302545238406], [0.10292488800334385, 0.007672243237738278, 0.20897240423601804]];2.9783564235323885;-0.5323872988718903;412.0367646617399;[];[];False;2;;9.370979858696996e-10;False;0.27418469586472705
8579;380;0.004794586451959307;2.6471627902605586;[[0.0739576685719234, 0.012891349882721243, 0.08899453509071281]];0.23047017557589564;-0.2254020487270857;409.494335816729;[];[0.16542567101367367, 0.008082127593833569, 0.21106493494665227];False;2;0.27797510856022406;9.423573380488674e-10;False;0.41559710559581375
8580;380;0.01922981651898577;0.23256045702707923;[[0.11288427679713071, 0.01407446494923972, 0.04623896497356032], [0.009218083626815535, 0.011253696042869356, 0.15445104765150808]];3.6712931225792875;0.49025411445180006;485.2082870573262;[];[];False;3;;6.887876363839913e-10;False;0.251790273546065
8581;380;0.0008492485856899815;2.054372708397775;[[0.07890041154301868, 0.014099998110406563, 0.09490796177510041], [0.11824032568873842, 0.004796049701594772, 0.14101622421609483]];3.1199533526974945;0.4842954502266353;469.2708302065761;[];[];False;7;;4.66829110065938e-09;False;2.055221956983465
8582;380;0.00036919074411613897;0.046275219236008566;[[0.12053510485805202, 0.014598261014905446, 0.11705996627553188], [0.10661430837216357, 0.0077996173282434975, 0.16066484885261198]];5.941807998701942;0.45430876669262454;436.7508539799367;[];[];False;0;;2.4826119853025473e-10;False;0.0466444099801247
8583;380;0.00660851886737859;5.424073433351421;[[0.06834472453749822, 0.009861058134747363, 0.13310097643243893]];4.865393210325545;0.885611119685551;428.9659788801306;[0.04802643929584078, 0.015, 0.1380522892685605];[];False;1;;1.0984060225780234e-10;False;0.03909575367648146
8584;380;0.02120755552184961;0.7597123822445925;[[0.07709945711684116, 0.005355584615841514, 0.1095737010036818]];1.4717421423268244;-0.2675804098886644;412.0367646617399;[];[0.20421817206231632, 0.010571737993271001, 0.15271745142207402];False;5;0.27797510856022406;9.909339245885236e-10;False;0.45747770380362224
8585;380;0.002858018575921599;7.785087839037211;[[0.06486835495499749, 0.014490718224303837, 0.006449278802678829]];2.676034005485529;0.9334134190759844;450.370708338086;[0.0652454698892446, 0.015, 0.005187898458482138];[];False;0;;2.2264022821798005e-10;False;0.004269636078439267
8586;380;0.010109353597360529;0.07435712356582581;[[0.022366113547572883, 0.012484644685855823, 0.007347162477502556], [0.08721192772921803, 0.006383349791230035, 0.011896746528193768]];1.5095725015601325;-0.507991798681081;419.1114406296339;[];[];False;1;;2.550155210279104e-10;False;0.08446647716318635
8587;380;2.4639221137859393e-05;4.697944898386868;[[0.05210870233545411, 0.014883201086043704, 0.10801923475388037]];3.502814190345988;0.4033716346735446;450.370708338086;[];[0.15717055046085784, 0.014431582766551668, 0.20573704511975222];True;6;0.2523603297418939;1.4053717774644378e-09;False;0.6438559620193521
8588;380;0.027910406181265068;3.2640750826567326;[[0.06745049021875571, 0.00711305764253249, 0.059237535548638136]];2.653044342871217;-0.25967484138522734;496.768984169103;[];[0.16908795997259207, 0.010110685225085854, 0.13861438958222036];False;2;0.18846145777887674;5.857838606527344e-10;False;0.25197443196880487
8589;380;0.00135168760189665;5.398654029380221;[[0.06986978834557897, 0.01430744471230532, 0.07291483794969528]];4.929154875589674;-0.5712691653750891;496.768984169103;[0.06879231830929755, 0.015, 0.07319691427670721];[];False;0;;7.452450267897291e-11;False;0.002663229274836814
8590;380;0.028039947223788282;1.530023824355951;[[0.12189982195850155, 0.005514289291502128, 0.12838038852074424]];0.0674642409120206;0.04344397307894675;496.768984169103;[];[0.1469825007213438, 0.006604666583746666, 0.20004104123576347];False;2;0.18846145777887674;8.729557761194487e-10;False;0.4004657298446447
8591;380;0.003774003991760304;0.018312657341021863;[[0.09471693013638474, 0.012938296828990007, 0.0021099466624145136], [0.07739226542177984, 0.00704015431388762, 0.002759043178925935]];4.74784164562831;0.32813977415823153;419.1114406296339;[];[];False;1;;1.4532474856446016e-10;False;0.022086661332782167
8592;380;0.00015754052660197601;2.16776359972239;[[0.05599981134997908, 0.014838788513108662, 0.05790826348623311]];1.5163227477019519;-0.7756834116491997;473.2693773900932;[0.08642405871418068, 0.015, 0.06023192188017766];[];False;1;;1.7105921355715506e-10;False;0.04283525738141865
8593;380;0.0003626928413150584;2.234127933531842;[[0.038015902302169086, 0.014670751570967039, 0.0434024277157893]];3.4591745104395644;0.9701526467323879;477.8436481302492;[0.017688999285017278, 0.015, 0.06601317790772733];[];False;2;;2.9292068566632765e-10;False;0.11553782574341187
8594;380;0.006432084123105067;6.867344227267507;[[0.06058702234765594, 0.011342901732767557, 0.08986219071983523]];1.9254089664595802;-0.029970117634159816;419.1114406296339;[];[0.15274390561474416, 0.012405243927009996, 0.20357723794638682];False;4;0.2683799504570655;1.8410127956661908e-09;False;0.8515256886579307
8595;380;0.004954006363600094;1.3520426222395656;[[0.11729659520445929, 0.014799532695413512, 0.11861891037043056]];0.8495598868705713;-0.1726490070560912;489.0345374100244;[];[0.14988085475324292, 0.00911732229162436, 0.1477012389842819];False;0;0.20641329805171382;5.950230453545538e-10;False;0.04899720473769032
8596;380;0.0075931605573430925;1.2846593762718435;[[0.09732632181373924, 0.013454251675652805, 0.051435423057535366]];0.4278443830837375;0.3339055470186609;433.55285670546846;[];[0.14221131191942638, 0.0009753924012668516, 0.15561833910300976];False;0;0.2683799504570655;4.06947742127048e-10;False;0.12209721426766987
8597;380;0.0019615355731712534;1.9710400067437257;[[0.07959439209544705, 0.014555785462684778, 0.09987369026354187]];2.684071896472949;1.0466142068652997;506.3272559178258;[0.07985120510129658, 0.015, 0.09883156105864453];[];False;0;;1.8170905340388396e-10;False;0.0031231347961546314
8598;380;0.0030088797545087917;0.45768208300117175;[[0.012402922302269671, 0.012933004330256286, 0.12749716718961754]];3.8281416767126966;-1.1205106739793833;477.8436481302492;[0.011403721254444617, 0.015, 0.12469582987315186];[];False;0;;4.921535526434344e-11;False;0.0066308080521614455
8599;380;0.00034723165584359784;0.4594821832039935;[[0.11091497751065424, 0.014576389895428664, 0.07671394835355883], [0.1727733052605528, 0.005875184500502179, 0.1236211531564817]];1.4685310658512338;-0.4255691202317393;436.7508539799367;[];[];False;7;;1.0339973990500893e-09;False;0.4598294148598371
8600;380;0.0054922712057532816;1.0016323165473804;[[0.005820463904495116, 0.013764499001929942, 0.07088870095998348]];0.22335228564997128;0.766519203270672;416.37360196430393;[0.0071035182583439535, 0.015, 0.07873051369491621];[];False;0;;1.6912740725468348e-10;False;0.013533833128720469
8601;380;0.004265603845206395;1.5165255182279118;[[0.04048303926617501, 0.01249855987049393, 0.035045121665782976]];3.298528140160561;-0.635755573648602;481.3400130873551;[0.037093403624215676, 0.015, 0.008422350541287697];[];False;0;;1.127793326484076e-10;False;0.031219616067026064
8602;380;0.0038353156832189182;2.216282824803584;[[0.12056640964700853, 0.013629444952272491, 0.08376327098173664]];3.196593322922702;1.3830594366061573;433.55285670546846;[0.11512755834749877, 0.015, 0.2544588889973626];[];False;3;;1.214095907657208e-09;False;0.5339413003783491
8603;380;0.003037350200148136;4.462616471133425;[[0.09794156340361465, 0.011966986151140559, 0.09764253997167936]];2.9002524915827967;-0.5946006611823192;459.3721671579427;[0.1378194298997581, 0.015, 0.097939252946744];[];False;2;;4.5780459050988414e-10;False;0.20445656551870972
8604;380;0.005125568079936068;0.659673196195914;[[0.058266925024267766, 0.013786184388789478, 0.1031909055784864]];1.0199882355045506;1.1645552143142728;413.8942085452024;[0.05878907149741348, 0.015, 0.10400250654691208];[];False;0;;1.4802999469240085e-10;False;0.00667627160072474
8605;380;0.0049799794042021455;1.015163343211181;[[0.09528988411805303, 0.014536214260955797, 0.07468596202806341], [0.2537657106283052, 0.0030660000592036174, 0.15915340437790693]];3.5445871679806746;0.5017199651263619;511.9184981959861;[];[];False;10;;2.4113350939378677e-09;False;1.0201433226153833
8606;380;0.001615164440159175;2.7042250067080547;[[0.07673301847842584, 0.014065337081157403, 0.0640904653732139]];0.15820388714116018;0.719488732499788;419.1114406296339;[0.07779978587540867, 0.015, 0.07298058811080275];[];False;0;;7.98773795415925e-11;False;0.010617712398405173
8607;380;0.007537393973085974;1.8770876793047726;[[0.10985913071007053, 0.009634663098589605, 0.10808006568231511]];2.1113235880904315;1.0744222654362416;450.370708338086;[0.11276501697342982, 0.015, 0.10441813800588215];[];False;0;;6.005370096595826e-11;False;0.014653623968571082
8608;380;0.0009764594066807923;0.6652066422201062;[[0.06956326328138596, 0.014327460260610875, 0.06822657008457897]];4.062040006897981;-0.7804501245635058;481.3400130873551;[0.068884034886186, 0.015, 0.06749939757957739];[];False;0;;5.61839766596073e-11;False;0.002177475961909644
8609;380;0.005899307945450942;0.5187797327242324;[[0.13076244989164135, 0.012538783515213954, 0.0392574873829353]];4.053054368684294;0.3237603895105888;496.768984169103;[];[0.13921495474025658, 0.01194301023567132, 0.18145240984579145];False;5;0.18846145777887674;8.392210102711892e-10;False;0.36618843057144546
8610;380;0.001645225644371883;1.5419429570085745;[[0.05479850831916305, 0.013739895952225195, 0.014623543020072998]];1.153417821063781;0.7641555741284934;469.2708302065761;[0.05611331843993196, 0.015, 0.015431099135714832];[];False;0;;4.881628777105118e-11;False;0.003637393996897674
8611;380;0.0032361648974664173;0.23389565019277436;[[0.06824732103148476, 0.012068782248164562, 0.08665018783984474], [0.018974170649308682, 0.006013393001797783, 0.12904923771324966]];3.53864809677151;-0.2679259475793874;481.3400130873551;[];[];False;3;;7.150721711777696e-10;False;0.23713181509024078
8612;380;0.020263586968887245;5.344820990151156;[[0.08926126834837045, 0.0003870066817739312, 0.07762164198687839]];6.03093640585867;-0.7959749304462598;473.2693773900932;[0.0749541675354124, 0.015, 0.15696839209277197];[];False;1;;2.5666193351089437e-10;False;0.10220343966437229
8613;380;0.002935968849131726;1.4467901452265823;[[0.058379724286026634, 0.012920569713245119, 0.05421938008631489], [0.11015198574397976, 0.005629529955657622, 0.09104041307594563]];6.165725262720688;0.10962760096279212;492.4594622177664;[];[];False;6;;3.651569936723605e-09;False;1.4497261140757138
8614;380;0.005137544280304238;1.0727796395298652;[[0.06420145270067022, 0.010671910011553033, 0.001771866763743995]];5.576791299843929;-0.7329194229281556;477.8436481302492;[0.05939347264032036, 0.015, 0.009353315492758682];[];False;0;;5.926309891643994e-11;False;0.015103857542463678
8615;380;0.0027337647760146523;4.3581955469829055;[[0.03215998415776862, 0.013815069882082113, 0.021456234600695775]];2.2580518315060787;0.3159635514844638;455.86529629651864;[];[0.21148475924631438, 0.009313366689406861, 0.18146359227870648];True;30;0.23373679830588984;5.407590786468185e-09;False;2.52933224981327
8616;380;0.005506260705216391;0.9913295740813068;[[0.03496071416681302, 0.010250249467496284, 0.08618908612320597], [0.10151892984995323, 0.0009873934538542316, 0.004306791073477902]];2.4937868176709035;0.3422051181483294;392.60294285388386;[];[];False;11;;2.276204948020574e-09;False;0.9968358347865232
8617;380;0.016176610052368614;0.0886587783860475;[[0.0894817776274471, 0.0010498425684532678, 0.0658934970936408], [0.1643904926753755, 0.014055191574011716, 0.05952433916773071]];1.6426972617442517;-0.5602938233042352;419.1114406296339;[];[];False;2;;2.798934271063458e-10;False;0.10483538843841611
8618;380;0.024669952009301617;5.007618556420562;[[0.03172292588660735, 0.0012151205613872102, 0.06871432376186502]];5.130744093528059;0.6735981906456702;496.768984169103;[0.01140647448845247, 0.015, 0.08027128653233397];[];False;1;;1.1676394124384166e-10;False;0.05311730198626638
8619;380;0.005644065151634304;2.3239270173966307;[[0.059766571403656675, 0.010465928017383554, 0.05708195756645737]];4.584854024270908;-1.0144114202456944;444.1743259711958;[0.05694671941683331, 0.015, 0.056397279085195325];[];False;0;;5.140503033234021e-11;False;0.011027201653139945
8620;380;0.004818433520917256;4.483182701643392;[[0.12931872221226734, 0.014320635533133426, 0.05007891237550987]];3.782058524574463;-0.7758609795481277;450.370708338086;[0.12862627412013009, 0.015, 0.04877728420641779];[];False;0;;2.0311532356112915e-10;False;0.006441780781893603
8621;380;0.011175546458762075;2.490620625212737;[[0.004913117112553534, 0.011200435031811649, 0.013871628538515562]];5.092859978761921;0.12913904297693218;554.7594748248516;[];[0.20233270262522293, 0.00503124555179198, 0.20110684963739275];False;11;0.08312113256150554;2.852364537538307e-09;False;1.3172514805774198
8622;380;0.018240564827341568;2.1233117970041766;[[0.023897194336594242, 0.006276373271466677, 0.12062771909101579]];0.9017864815919198;0.2684994376237078;419.1114406296339;[];[0.20546319904025703, 0.014230288844305385, 0.1934359186628782];True;6;0.2683799504570655;1.3802458205603607e-09;False;0.6405082239440184
8623;380;0.006295954372936487;2.7979870612499096;[[0.11064877447617819, 0.013602629998489778, 0.12328777942226278]];2.6779059220917847;-1.046007409565391;459.3721671579427;[0.12720793007676381, 0.015, 0.05719383314769557];[];False;1;;3.0866148960120844e-10;False;0.08019267832725188
8624;380;0.048368888590598694;1.6233217652914902;[[0.05537009374997266, 0.009567361008755517, 0.05844001578381293]];3.795310543590421;-0.21119039164017797;455.86529629651864;[];[0.17753763063079808, 0.0004291346426698057, 0.21301319972862504];False;13;0.23373679830588984;3.545465073737171e-09;False;1.6172558118933524
8625;380;0.0007623509057957425;7.621114909991614;[[0.03527470747889452, 0.014525239352626182, 0.03624546987820591]];4.590809679389009;-0.9207881822698544;428.9659788801306;[0.03491378624488023, 0.015, 0.03617260377991695];[];False;0;;6.525801014897716e-11;False;0.001363159758707431
8626;380;0.01224691699427327;4.318420833400516;[[0.10312718179508613, 0.008225812142899235, 0.116552676414139]];4.4472083215305735;-1.0370288273430455;419.1114406296339;[0.0991237105407804, 0.015, 0.11441570556077041];[];False;0;;7.49353618600988e-11;False;0.020400692048534376
