Run;Initial_wl_nm;Absorption_length_m;Absorption_coordinate_m;Isotropic_emmission_angle_theta_deg;Isotropic_emmission_angle_phi_deg;Shifted_wl_nm;Refraction_coordinate_m;Hit_coordinate_m;Detected;Num_reflections;Quantumn_efficiency;X_positions_m;Y_positions_m;Z_positions_m;Time_s;Timed_out
710;380;0.008930274152553581;[0.075, 0.0012053967780407044, 0.07609417887796995];3.762192794793434;0.3361073002570535;426.44246066289253;[];[0.14256220400228664, 0.004808714851802844, 0.1129148272972153];False;25;0.2683799504570655;[0.075, 0.075, 0.075, 0.07154973056517412, 0.05723797240520099, 0.042926214245227856, 0.028614456085254723, 0.023650247876833046, 0.014302697925281594, 0.0, 9.060234691533836e-06, 0.014320818394664665, 0.028632576554637794, 0.04294433471461093, 0.05725609287458406, 0.07156785103455719, 0.08587960919453032, 0.10019136735450344, 0.11450312551447657, 0.1288148836744497, 0.14312664183442284, 0.15743839999439596, 0.1717501581543691, 0.17879527245205468, 0.1860619163143422, 0.20037367447431534, 0.21468543263428846, 0.2289971907942616, 0.24330894895423472, 0.25762070711420787, 0.271932465274181, 0.2862442234341542, 0.3, 0.29944401840587265, 0.2851322602458995, 0.27082050208592634, 0.2565087439259532, 0.24219698576598006, 0.22788522760600693, 0.21875920721905745, 0.2135734694460338, 0.19926171128606068, 0.18494995312608756, 0.17063819496611443, 0.1563264368061413, 0.14256220400228664];[0.005, 0.0, 0.0012053967780407044, 0.0, 0.005, 0.0, 0.005, 0.0032656888996680064, 0.0, 0.00499683468844629, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0025386971261891393, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.00019423944560573864, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0018117053527102697, 0.0, 0.005, 0.0, 0.005, 0.0, 0.004808714851802844];[0.075, 0.07588163490354231, 0.07609417887796995, 0.07098129305680582, 0.049772982588800474, 0.028564672120795127, 0.007356361652789779, 0.0, 0.013851948815215568, 0.035046833101189105, 0.035060259283220915, 0.056268569751226266, 0.07747688021923162, 0.09868519068723697, 0.11989350115524232, 0.14110181162324767, 0.162310122091253, 0.18351843255925834, 0.20472674302726368, 0.22593505349526902, 0.24714336396327435, 0.2683516744312797, 0.2895599848992851, 0.3, 0.28923170463270953, 0.26802339416470417, 0.24681508369669883, 0.2256067732286935, 0.20439846276068815, 0.18319015229268282, 0.16198184182467748, 0.14077353135667214, 0.12038911898217475, 0.11956522088866679, 0.09835691042066144, 0.07714859995265609, 0.05594028948465074, 0.03473197901664539, 0.013523668548640042, 0.0, 0.007684641919365307, 0.028892952387370656, 0.050101262855376, 0.07130957332338135, 0.0925178837913867, 0.1129148272972153];2.068969850500986e-09;False
711;380;0.0066901609997373915;[0.075, 0.003411477578558709, 0.07648317044472419];5.376045784864806;0.2161154151012024;455.86529629651864;[];[0.18046595850865127, 0.004839444025286282, 0.1275904655880059];False;15;0.23373679830588984;[0.075, 0.075, 0.075, 0.059461083216664976, 0.03668661610452884, 0.013912148992392709, 0.0, 0.008862318119743421, 0.03163678523187956, 0.05441125234401569, 0.07718571945615182, 0.09996018656828795, 0.12273465368042408, 0.1455091207925602, 0.16828358790469633, 0.19105805501683246, 0.20418494730611378, 0.21383252212896858, 0.2366069892411047, 0.25938145635324084, 0.282155923465377, 0.3, 0.29506960942248683, 0.2722951423103507, 0.24952067519821455, 0.22674620808607843, 0.2039717409739423, 0.18119727386180617, 0.18046595850865127];[0.005, 0.0, 0.003411477578558709, 0.0, 0.005, 0.0, 0.003054330299781012, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.002118068180333794, 0.0, 0.005, 0.0, 0.005, 0.0010824381868601018, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.004839444025286282];[0.075, 0.07588163490354231, 0.07648317044472419, 0.08892370295784029, 0.10715705233012607, 0.12539040170241184, 0.13652853599326495, 0.1436237510746976, 0.16185710044698337, 0.18009044981926914, 0.1983237991915549, 0.21655714856384067, 0.23479049793612644, 0.2530238473084122, 0.271257196680698, 0.28949054605298374, 0.3, 0.29227610457473047, 0.2740427552024447, 0.25580940583015893, 0.23757605645787316, 0.22329000181257214, 0.21934270708558737, 0.2011093577133016, 0.18287600834101583, 0.16464265896873007, 0.1464093095964443, 0.12817596022415853, 0.1275904655880059];1.3783590590490036e-09;False
712;380;0.004441328003616614;[0.075, 0.004373854251631875, 0.07511040638929319];3.798264793716726;1.035549917489106;426.44246066289253;[0.06944143282041645, 0.005, 0.060971572890671295];[];False;1;;[0.075, 0.075, 0.0724063643365086, 0.06944143282041645];[0.005, 0.004373854251631875, 0.0, 0.005];[0.075, 0.07511040638929319, 0.06851320577671734, 0.060971572890671295];4.840597593563012e-11;False
713;380;0.0010918932069335801;[0.075, 0.0010753048956495537, 0.07569202963795141];3.5792700412068457;-1.3222084128569631;473.2693773900932;[0.07400376203133745, 0.005, 0.067038977725071];[];False;0;;[0.075, 0.075, 0.07400376203133745];[0.005, 0.0010753048956495537, 0.005];[0.075, 0.07569202963795141, 0.067038977725071];3.088786695505633e-11;False
714;380;0.0019365898892283208;[0.075, 0.0019071687373171053, 0.07554534959838961];5.635052894484072;1.0467008557812494;419.1114406296339;[0.07100756861225362, 0.005, 0.08608067761458688];[];False;1;;[0.075, 0.075, 0.0738976322110887, 0.07100756861225362];[0.005, 0.0019071687373171053, 0.0, 0.005];[0.075, 0.07554534959838961, 0.0784543053505951, 0.08608067761458688];3.861814532428907e-11;False
715;380;0.0010614962757410826;[0.075, 0.001045369762143404, 0.07569730800965965];5.165666688332013;0.08454803696206742;477.8436481302492;[];[0.1178708660041546, 0.004699549420103492, 0.169982274659551];False;3;0.20641329805171382;[0.075, 0.075, 0.06266526444680147, 0.0036682664472245177, 0.0, 0.05532873155235244, 0.11432572955192939, 0.1178708660041546];[0.005, 0.001045369762143404, 0.0, 0.005, 0.004689114143803485, 0.0, 0.005, 0.004699549420103492];[0.075, 0.07569730800965965, 0.08172714628623742, 0.11056784215740129, 0.1123610750432433, 0.13940853802856515, 0.168249233899729, 0.169982274659551];4.6526194711861105e-10;False
716;380;0.002723853697767719;[0.075, 0.0026824722396326228, 0.07540864267269362];4.1932357780339595;0.6686502801908881;444.1743259711958;[0.06527608551850406, 0.005, 0.06832707829755043];[];False;1;;[0.075, 0.075, 0.07160472178179692, 0.06527608551850406];[0.005, 0.0026824722396326228, 0.0, 0.005];[0.075, 0.07540864267269362, 0.07293598813428928, 0.06832707829755043];4.085169042990404e-11;False
717;380;0.006115538996287481;[0.075, 0.0039773697826075895, 0.0765829525084706];1.3194457832659847;0.5990691220184636;433.55285670546846;[0.0764977643378202, 0.005, 0.07704864529416786];[];False;1;;[0.075, 0.075, 0.075, 0.0764977643378202];[0.005, 0.0, 0.0039773697826075895, 0.005];[0.075, 0.07588163490354231, 0.0765829525084706, 0.07704864529416786];2.539031152187937e-11;False
718;380;0.011231376918150184;[];0;0;380;[0.075, 0.005, 0.07676326980708463];[];False;1;;[0.075, 0.075, 0.075];[0.005, 0.0, 0.005];[0.075, 0.07588163490354231, 0.07676326980708463];2.1437332850240098e-11;False
719;380;0.003951712834348631;[0.075, 0.0038916774369443805, 0.07519542717119466];2.6193129677248113;0.22929403229938092;406.22279721203313;[];[0.17428230253007104, 0.004211939285771, 0.17908409643657708];False;31;0.27797510856022406;[0.075, 0.075, 0.07974862122419313, 0.10117118078619149, 0.11714913377738148, 0.12259374034818984, 0.1440162999101882, 0.16543885947218653, 0.18686141903418488, 0.20828397859618322, 0.22970653815818157, 0.25112909772017994, 0.2725516572821783, 0.2853074993708986, 0.29397421684417663, 0.3, 0.284603223593825, 0.26318066403182666, 0.24175810446982832, 0.22033554490782997, 0.19891298534583163, 0.17749042578383328, 0.15606786622183494, 0.14653413503558427, 0.13464530665983657, 0.11322274709783821, 0.09180018753583985, 0.07037762797384149, 0.04895506841184313, 0.02753250884984478, 0.006109949287846424, 0.0, 0.01531261027415193, 0.021624230557932906, 0.036735169836150286, 0.058157729398148644, 0.079580288960147, 0.10100284852214536, 0.12242540808414372, 0.14384796764614208, 0.16527052720814042, 0.18669308677013877, 0.18978259615145007, 0.2081156463321371, 0.22953820589413546, 0.2509607654561338, 0.27238332501813217, 0.2938058845801305, 0.3, 0.2847715558578711, 0.2633489962958728, 0.2420590382550328, 0.24192643673387443, 0.22050387717187608, 0.19908131760987774, 0.1776587580478794, 0.17428230253007104];[0.005, 0.0038916774369443805, 0.005, 0.0, 0.0037292352823080515, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.0029771984182851833, 0.005, 0.003593589356494883, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.0022251615542623155, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.003573945081080575, 0.0, 0.0014731246902394447, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.0007210878262165771, 0.005, 0.0, 0.005, 0.0, 0.005, 0.00355430080566627, 0.0, 0.005, 3.0949037806295154e-05, 0.0, 0.005, 0.0, 0.005, 0.004211939285771];[0.075, 0.07519542717119466, 0.06672373227674297, 0.028505188430196025, 0.0, 0.009713355416350917, 0.04793189926289786, 0.08615044310944481, 0.12436898695599174, 0.16258753080253868, 0.20080607464908562, 0.23902461849563256, 0.2772431623421795, 0.3, 0.28453829381127355, 0.2737881004422634, 0.2463197499647266, 0.20810120611817967, 0.16988266227163273, 0.1316641184250858, 0.09344557457853886, 0.055227030731991915, 0.01700848688544497, 0.0, 0.02121005696110197, 0.05942860080764892, 0.09764714465419586, 0.1358656885007428, 0.17408423234728973, 0.21230277619383667, 0.25052132004038363, 0.2614216685296448, 0.28873986388693057, 0.3, 0.27304159226652247, 0.23482304841997553, 0.1966045045734286, 0.15838596072688166, 0.12016741688033472, 0.08194887303378778, 0.04373032918724084, 0.005511785340693895, 0.0, 0.03270675850585304, 0.0709253023524, 0.10914384619894693, 0.14736239004549387, 0.1855809338920408, 0.19663143750155304, 0.22379947773858774, 0.2620180215851347, 0.3, 0.29976343456831833, 0.2615448907217714, 0.22332634687522446, 0.18510780302867752, 0.17908409643657708];4.142294122202025e-09;False
720;380;0.003720768778902472;[0.075, 0.0036642419406289223, 0.07523553018556589];0.558649461727577;-0.006353250383527001;489.0345374100244;[];[0.11407184376124446, 0.003416005394336057, 0.13774476716419354];False;0;0.20641329805171382;[0.075, 0.075, 0.11407184376124446];[0.005, 0.0036642419406289223, 0.003416005394336057];[0.075, 0.07523553018556589, 0.13774476716419354];1.6634569890843235e-10;False
721;380;0.013750425941242997;[];0;0;380;[0.075, 0.005, 0.07676326980708463];[];False;1;;[0.075, 0.075, 0.075];[0.005, 0.0, 0.005];[0.075, 0.07588163490354231, 0.07676326980708463];2.1437332850240098e-11;False
722;380;0.008341443527901352;[0.075, 0.0017852817424092414, 0.07619642824289528];4.461004142065758;0.17254551377542487;464.8436421268753;[];[0.11751369923547686, 0.003667188214428121, 0.13040282581155963];False;19;0.23373679830588984;[0.075, 0.075, 0.075, 0.0647561557525577, 0.03606644251542405, 0.007376729278290389, 0.0, 0.02131298395884327, 0.05000269719597693, 0.0786924104331106, 0.10738212367024424, 0.1360718369073779, 0.16476155014451155, 0.1934512633816452, 0.21728911542628773, 0.22214097661877885, 0.2508306898559125, 0.27952040309304615, 0.3, 0.29178988366982017, 0.2631001704326865, 0.23441045719555287, 0.20572074395841922, 0.17703103072128556, 0.1483413174841519, 0.11965160424701826, 0.09096189100988461, 0.06227217777275095, 0.03358246453561729, 0.004892751298483634, 0.0, 0.023796961938650024, 0.05248667517578368, 0.08117638841291734, 0.109866101650051, 0.11751369923547686];[0.005, 0.0, 0.0017852817424092414, 0.0, 0.005, 0.0, 0.0012856052650854913, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0008455750589746675, 0.0, 0.005, 0.0, 0.0035691532950644293, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.00414729867495663, 0.0, 0.005, 0.0, 0.005, 0.003667188214428121];[0.075, 0.07588163490354231, 0.07619642824289528, 0.07352597524982625, 0.06604689525468425, 0.05856781525954226, 0.05664478633559224, 0.05108873526440027, 0.04360965526925827, 0.036130575274116276, 0.028651495278974284, 0.02117241528383229, 0.013693335288690298, 0.006214255293548305, 0.0, 0.0012648247015936895, 0.008743904696735683, 0.016222984691877676, 0.021561781293619978, 0.023702064687019672, 0.031181144682161665, 0.03866022467730366, 0.046139304672445654, 0.05361838466758765, 0.061097464662729646, 0.06857654465787164, 0.07605562465301363, 0.08353470464815563, 0.09101378464329762, 0.09849286463843962, 0.0997683489228322, 0.10597194463358162, 0.11345102462872361, 0.12093010462386561, 0.1284091846190076, 0.13040282581155963];1.774896719979296e-09;False
723;380;0.006952658110951452;[0.075, 0.003152968388291795, 0.07643758829971904];5.346797321333938;1.4585048339788378;444.1743259711958;[0.07408062350081568, 0.005, 0.0824752889806707];[];False;2;;[0.075, 0.075, 0.075, 0.07464445280530839, 0.07408062350081568];[0.005, 0.0, 0.003152968388291795, 0.0, 0.005];[0.075, 0.07588163490354231, 0.07643758829971904, 0.07877252675138119, 0.0824752889806707];4.2943254967011973e-11;False
724;380;0.004169785999857041;[0.075, 0.004106437581060978, 0.07515755916340607];6.120567414743289;-0.025226962318109284;481.3400130873551;[];[0.12889166859606174, 0.0007489035789941982, 0.11828975710101781];False;5;0.20641329805171382;[0.075, 0.075, 0.03958658615462938, 0.03812258623061974, 0.0, 0.011081754772128785, 0.060286095774877306, 0.10949043677762582, 0.12889166859606174];[0.005, 0.004106437581060978, 0.005, 0.00496305989252726, 0.004001138782148427, 0.0037215204532431807, 0.002479981013959102, 0.0012384415746750233, 0.0007489035789941982];[0.075, 0.07515755916340607, 0.2910739587554204, 0.3, 0.06756571399773303, 0.0, 0.3, 0.0, 0.11828975710101781];2.6702639023422866e-09;False
725;380;0.026068654464823468;[];0;0;380;[0.075, 0.005, 0.07676326980708463];[];False;1;;[0.075, 0.075, 0.075];[0.005, 0.0, 0.005];[0.075, 0.07588163490354231, 0.07676326980708463];2.1437332850240098e-11;False
726;380;0.008407685324026656;[0.075, 0.0017200463080115876, 0.07618492547571273];0.5705023733879921;-0.36264824271748003;428.9659788801306;[];[0.11331881707340086, 0.002819236355134747, 0.14005566183763368];False;3;0.2683799504570655;[0.075, 0.075, 0.075, 0.07953324564639913, 0.09271093052989413, 0.10588861541338912, 0.11331881707340086];[0.005, 0.0, 0.0017200463080115876, 0.0, 0.005, 0.0, 0.002819236355134747];[0.075, 0.07588163490354231, 0.07618492547571273, 0.08374104958545127, 0.10570593528226017, 0.1276708209790691, 0.14005566183763368];1.8165228457734127e-10;False
